Instrução,PPL,BLEU,ROUGE-1 F1,ROUGE-2 F1,ROUGE-L F1,Faithfulness,Answer Relevance,Plan Adherence,Gerado,Referência
Quais são as primeiras etapas necessárias antes de...,187.53,0.9,0.137,0.0,0.11,0.0,0.0,0.5,"a ajuste se ajuste ajuste ajuste ajuste ajuste ajuste ajuste de ajuste ajuste. ajuste de ajuste ajuste se ajuste ajuste ajuste ajuste ajuste de ajuste a ajuste de ajuste e ajuste ajuste ajuste e ajuste a ajuste, ajuste ajuste ajuste ajuste ajuste ajuste ajuste de ajuste e ajuste ajuste ajuste ajuste a ajuste ajuste, ajuste ajuste de ajuste ajuste.","Leia, compreenda e segua normas de segurança e instruções de operação."
Quais são os primeiros dois tópicos do manual da m...,2868.73,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,"Normas de segurança, Legenda"
Quais são os elementos listados no conteúdo para u...,1390.77,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,"Controles, Inspeção pré-operação"
Quais são as páginas mais importantes do conteúdo ...,233.05,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,"Instruções de operação, Transporte e Elevação, Adesivos, Especificações"
Quais edições do livro Genie Lift Manual estão lis...,3493.98,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,Segunda edição (agosto de 2004) e Terceira edição (outubro de 2005)
Quais são as consequências da não observância das ...,843.92,5.88,0.0,0.0,0.0,0.0,0.0,0.5,"ção, de.",Pode provocar morte ou acidentes pessoais Graves.
Quais normas devem os operadores seguir ao trabalh...,242.49,5.52,0.125,0.0,0.125,0.0,0.0,0.5,"de es de ajuste da.p do doper,","Normas de segurança, normas governamentais, treinamento adequado."
Quais riscos de segurança devem ser evitados ao op...,432.33,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,"Choques elétricos, tombamento, contato com corrente elétrica."
Qual é a distância mínima entre a máquina e a supe...,387.29,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,"3,1 metros na fase de aproximação."
Quais ações devem ser tomadas quando o alarme de i...,213.07,3.53,0.0,0.0,0.0,0.0,0.0,0.5,de ação de...,"Mantenha distância, verifique estabilidade, e evite ventos fortes."
Quais são as diretrizes para o posicionamento segu...,743.46,3.13,0.114,0.0,0.114,0.0,0.0,0.5,"posição posição., posição posição posições. posições. posição de posição posição posição","Mova para superfície firme, leveza, retraia se o alarme do inclinação soa."
Quais são as instruções de segurança para operar a...,369.03,0.11,0.087,0.045,0.087,0.0,0.0,0.5,"dass do que. não., que","Evite operar a máquina com raios, em tempestades, ou enquanto a plataforma está em movimento. Gire as linhas energizadas se descendo. Mova a máquina para uma superfície firme e nivelada, não use para solda ou aterramento."
Quais são as diretrizes de segurança para o contro...,389.85,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,Não libere com controles da plataforma; não movimente em declive superior ou plataforma presa.
Qual é a máxima capacidade de inclinação da máquin...,1077.14,0.69,0.08,0.027,0.08,0.2,0.156,0.5,"de da rotação de posição do rotação, inclinação de posição doção de posição de inclinação o posição e do de a direção de direção, a inclinação posição. posição. o posição posição de inclina rotação de e de inclinação da posição.. posição de tensão de tensão o da",Inclinação máxima de 2WD
Que deve fazer a operação da máquina de lança de c...,915.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,"Desligue a máquina se ventos superarem 12,5 m/s ou 17° de inclinação lateral com contrapeso."
Quais são as diretrizes para a estabilidade da cap...,372.31,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,A inclinação não deve exceder 25% (14°) e depende das condições do solo e da tração.
Quais são as forças máximas permitidas para empurr...,1028.08,2.63,0.0,0.0,0.0,0.0,0.0,0.5,. tensão de motor de tensão de... força de..per,400 N para ambas as regiões.
Quais ações devem ser evitadas para manter a segur...,368.51,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,"Não altere ou desative chaves limitadoras, mantenha a lança baixa, evite terrenos irregulares."
Quais são as diretrizes de segurança para o uso da...,143.58,3.01,0.171,0.0,0.171,0.2,0.163,0.5,"de segurança de segurança, o do equipamento de equipamentos, e ajuste,. de segurança","Não modifique a plataforma, não trabalhe em alturas sem permissão, não empurre a máquina."
Quais práticas de segurança devem ser seguidas ao ...,410.39,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,"Evite contato com trilhos de proteção, não prenda à estrutura adjacente."
Quais são as regras para a carga de uma máquina?...,304.19,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,Não coloque ou amarre cargas que se projetem para fora da máquina; não transporte materiais; utilize equipamento de segurança conforme as normas governamentais.
Quais são as diretrizes para o uso seguro de uma p...,138.38,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,"Mantenha a plataforma firme, não coloque em pé, suba, use escadas ou andaimes nela e não a use sobre superfícies móveis."
Quais são as diretrizes para manutenção segura de ...,588.72,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,"Verifique pneus, calibre de ar e porças; não desça, substitua neumáticos originais."
Quais são as diretrizes de segurança para o modelo...,542.23,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,"Mantenha o piso livre de detritos, abaixe o trilho central de entrada, não use pneus com ar, feche a porta de entrada, assegure a distribuição adequada de contrapesos."
Quais são as diretrizes de segurança para o uso da...,404.56,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,"Evite operar a base giratória em direção à lança ou guindaste, verifique obstruções acima do guindaste."
Quais medidas devem ser tomadas antes de abaixar a...,214.72,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,A área abaixo deve estar livre de pessoas e obstruções.
Quais são as diretrizes de segurança ao operar a m...,164.18,0.0,0.0,0.0,0.0,0.0,0.0,0.5,.,"Apenas em áreas abertas, longe de combustíveis, não em locais perigosos, e sem gases ou partículas inflamáveis."
Quais medidas de segurança devem ser tomadas antes...,204.11,4.55,0.167,0.0,0.167,0.0,0.0,0.5,"de.,.,.,","Teste funções, use óculos de segurança, retire baterias danificadas."
Que precauções devem ser tomadas com baterias?...,239.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,Faça o descarte de forma apropriada.
Quais são as normas de segurança para acessar comp...,508.79,0.0,0.0,0.0,0.0,0.0,0.0,0.5,.,Compartimentos devem permanecer fechados e travados durante a operação. Acesso só para inspeção pré-operacional.
Que simbolo de alerta de segurança indica uma situ...,86.48,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,Símbolo de alerta de vermelho.
Qual é o significado de um símbolo de laranja com ...,83.13,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,Indica risco de morte ou acidentes graves.
Quais cores são usadas para indicar riscos de segu...,2044.48,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,"Amarelo indica riscos, verde indica informações."
Quais elementos na lista incluem controles de segu...,321.8,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,"3, 7, 11, 13"
Quais controles são específicos para modelos Z-45/...,172.35,2.87,0.235,0.0,0.176,0.0,0.0,0.5,",.r.. a instalação de ajuste tensão de tensão do bloqueio do...","Chave de elevação, botão vermelho de parada de emergência, e chave de giro da base giratória."
Quais são as chaves necessárias para controlar a t...,214.82,0.49,0.045,0.0,0.045,0.111,0.106,0.5,chaves chaves chaves chaves chaves chaves chaves chaves chave chave chave chave chave chaves chaves chaves chaves chaves chave chaves chaves chaves chaves chaves chaves chaves chaves chaves chaves chaves chaves chaves chaves chaves chaves chaves chave chaves chaves chaves chaves chaves chave chaves chaves chaves chaves chaves chaves chaves chaves chaves chaves chave chave chave chaves chave chave chave chave chaves chaves chaves chaves chaves chaves chaves chaves chave chave chave chave chave,"Chave de elevação/descida da lança primária, chave de temperatura da água."
Quais peças são necessárias para a verificação do ...,249.33,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,"Chave de elevação/descida da lança secundária, disjuntor de 15 A para circuitos elétricos, lâmpada de controle, verificação do motor, lâmpada de pressão do óleo."
