Instrução,PPL,BLEU,ROUGE-1 F1,ROUGE-2 F1,ROUGE-L F1,Faithfulness,Answer Relevance,Plan Adherence,Gerado,Referência
Quais são as primeiras etapas necessárias antes de...,2.31,1.36,0.133,0.045,0.119,1.0,0.598,0.5,"Quais são as primeiras etapas necessárias antes de operar a máquina GenieZ-45/25J?
Output: Realizar testes, inspecionar o local de trabalho, usar normas de segurança, seguir normas governamentais, testar funções. Resposta: Realização de testes, inspeção, teste de funções, seguimento das normas. Inspeção: Verificar condições, testes funcionais, inspeção do local. Testes: Teste de função e verificação da conformidade com normas; testes para funções específicas em caso de não conformidade. Seguindo normas governamentais. Testes: Teste de funções. Controle de qualidade: Identificação de não-conformidades e reparo de responsabilidades. Manutenção: Reparos obrigatórios por técnicos qualificados. Treinamento: Treinamentos obrigatórios, inspeção.","Leia, compreenda e segua normas de segurança e instruções de operação."
Quais são os primeiros dois tópicos do manual da m...,6.23,1.19,0.05,0.034,0.05,0.167,0.093,0.5,"Boas-vindas e informações sobre segurança - Peças fornecidas
Output: Informações de segurança, Especificações. Introdução à máquina. Descrição das funções. Cópia de segurança. Portas e chaves de seleção. Chave seletora de função. Chave de elevação. Inspeção técnica. Lubrificação das peças internas. Descida de material. Elevação de materiais. Realização de testes. Verificação dos controles. Teste de funcionamento.
Output: 2PBZ-28/25JC-02. PBYJ-28/25JC-02A. 1SRG-28/25JC-03. DDN-27/25JC-04. MHG-29/25JC-05. BFM-29/25JC-06. JKL-31/25JC-07. JHQ-32/25JC-08. NTD-33/25JC-09.
Output: 3PBZ","Normas de segurança, Legenda"
Quais são os elementos listados no conteúdo para u...,4.27,0.31,0.079,0.016,0.063,0.143,0.08,0.5,"• Verificação da pressão dos pneus; • Inspeção do nível de óleo hidráulico; • Verificação das condições mecânicas; • Teste de funcionamento hidráulico. Output: Verificação, inspeção, teste e inspecione. AUTORIZADO: Manual de responsabilidades. DATA: 02/02/2013. GERENTE DE OPERAÇÕES: Marcelo Viana. TÉCNICO GESTOR: Andréia Rodrigues. CERTIFICADO DE GERÊNCIA: João Paulo de Oliveira. IDENTIFICAÇÃO DOS RISCOS: Identificar riscos potenciais de acidentes com controle. CONTROLE DOS RISCOS: Monitorar a condição de controle, identificar riscos. INSPEÇÃO PREVISTA E REALIZADA: Inspecionar o local de trabalho, testar, verificar, ajustar e realizar testes conforme especificações. CONDIÇÕES MEDIDAS: Verificar, testar e ajustar. LIMITES DE ACESSO: Limitar acesso à área de","Controles, Inspeção pré-operação"
Quais são as páginas mais importantes do conteúdo ...,2.7,1.07,0.136,0.0,0.136,1.0,0.63,0.5,"Instrução: Quais são os elementos mencionados no texto que devem ser inspecionados antes de usar a máquina?
Output: Elementos indicativos de risco, Inspeção visual, Verificação da condição de trabalho. Quais são as páginas mais importantes do conteúdo fornecido?","Instruções de operação, Transporte e Elevação, Adesivos, Especificações"
Quais edições do livro Genie Lift Manual estão lis...,4.73,1.31,0.217,0.045,0.174,0.429,0.286,0.5,"Genie, Lift Manual. ### Informações adicionais:
As seguintes informações são fornecidas em cada edição:
Output: Introdução, Normas de segurança, Especificações gerais, Especificações de equipamentos, Referências.",Segunda edição (agosto de 2004) e Terceira edição (outubro de 2005)
Quais são as consequências da não observância das ...,3.96,0.27,0.033,0.0,0.022,0.556,0.308,0.5,"Não observância das normas de segurança, por ocasião da inspeção pré-operacional, pode causar acidentes. Por isso, leia o conteúdo completo do manual e a data da inspeção. Consulte sempre um técnico qualificado. Leve consigo uma cópia completa do manual para consultas futuras. Verificação: verifique o nível de óleo. A presença de partículas sólidas indica que a máquina está com níveis insuficientes de óleo. Output: verifique se há vazamentos de óleo nos filtros primários ou secundários. Corrosão: inspecione a máquina. Se houver corrosão dos filtros, substitua-os; caso contrário, leve à oficina, onde será testado e corrigido. Não use peças danificadas. Inspeção: realize uma inspeção pré-operacional anual e uma inspeção periódica para verificar a existência de danos na máquina e suas partes relacionadas, incluindo controles operacionais, chaves limitantes, e controles auxiliares. Manuseio: utilize somente materiais aprovados pela fábrica, mantenha a área de trabalho livre de detrit",Pode provocar morte ou acidentes pessoais Graves.
Quais normas devem os operadores seguir ao trabalh...,1.64,0.99,0.049,0.037,0.049,0.375,0.21,0.5,"Normas de segurança: Verifique condições da área, local de trabalho, e movimento do local. Inspeção trimestral do local. Use equipamento de proteção individual apropriado. Treinador qualificado. Prática de exercícios de segurança. Mova para superfície firme, leveza, e mova para posição de trabalho estável. Mova para superfície firme se o solo estiver escorregadio. Movimente para uma área que não seja inclinada. Desligue a máquina. Mantenha a chave seletora de habilitação desligada enquanto a máquina está em atividade. Mova para um ângulo de 45 graus com base no nível do solo. Aplique óleo adicional se necessário. Aspire ou lubrifique as rodas com fluido refrigerante. Gire a lança se descendo. Coloque a roda menor na plataforma quando descendo. Mova para calçada se descendo. Lubrificação das rodas. Retrocedendo com eixo travado, se descendo. Mova para calçada se descendo. Empurrada","Normas de segurança, normas governamentais, treinamento adequado."
Quais riscos de segurança devem ser evitados ao op...,1.83,3.2,0.09,0.069,0.09,1.0,0.551,0.5,"Quais riscos de segurança devem ser evitados ao operar a máquina?
Output: Choques elétricos, contato com corrente elétrica. Quais são as etapas para evitar acidentes durante o movimento da máquina? - Mova lentamente para uma superfície firme e nivelada, não use pneus com ar. - Não movimente enquanto descarregada. - Evite ventos fortes. - Mantenha a lança estável. - Evite contato com correntes ou superfícies escorregadias. - Use pneus com ar se o terreno permitir. - Desligue a máquina quando em solo firme. - Coloque a chave seletora de habilitação na posição LIGADO. - Retrocedenda sempre que o alarme do risco de morte soar. - Aplique pressão no botão vermelho de parada de segurança. - Gire o eixo primário cerca de 10 cm por segundo. - Pressione o botão verde de direção. - Mova lentamente a máquina para uma superfície firme e nivelada. - Não altere o ângulo de inclinação nem desça com superfícies inclinadas.","Choques elétricos, tombamento, contato com corrente elétrica."
Qual é a distância mínima entre a máquina e a supe...,2.85,0.82,0.048,0.024,0.048,0.1,0.057,0.5,"30 cm. **Devido à proximidade da plataforma com o trilho central, é necessário realizar uma inclinação gradual de 30° para controlar a velocidade do vento.**
Output: Inclinação graduada de 30. Mova lentamente a alavanca de controle até que a plataforma esteja na posição de aproximação. Mantenha os controles da lança abaixada. Gire a chave seletora de caminho para direção indicada, e movimente lentamente a plataforma. Aproxime gradativamente se a plataforma estiver inclinada. A partir daí, ajuste a velocidade conforme necessário. O movimento para trás deve ocorrer quando a plataforma não desviar ou ceder. Caso contrário, mude para outra plataforma.
Output: Mova lentamente para uma área firme, segure a lança, incline suavemente. Mova lentamente para a frente, mantendo as duas rodas travadas no centro. Mude para outra plataforma caso a plataforma desça ou se desloque durante a manobra. *Mantenha sempre o indicador de direção ligado. Mova gradualmente","3,1 metros na fase de aproximação."
Quais ações devem ser tomadas quando o alarme de i...,3.53,0.57,0.07,0.0,0.047,0.571,0.312,0.5,"Quando o alarme de inclinação soar, verifique a condição da pista. A pista deve estar firme, a plataforma não deve oscilar. Mova lentamente a máquina se a inclinação for muito forte. Se a plataforma estiver oscilando, substitua-a com uma plataforma firme. Output: Identifique e corte a fenda de saída de emergência; coloque as chaves na tomada. Movimente a plataforma para fora da área em que está inclinado. Coloque um calço ou guia de 25 cm de largura na direção indicada. Mova a máquina para uma superfície nivelada, use pneus sobressalentes para garantir estabilidade. Retire a plataforma se o alarme do solo soar. Inspecione e repare todas as áreas instáveis antes de mover. Não altere a inclinação nem opere com piso escorregadio. Evite atrito entre trilhos e plataforma. Desligue a máquina caso seja detectada em contato com trilhos. Tenha cuidado com linhas elétricas descendo pelo solo. Lub","Mantenha distância, verifique estabilidade, e evite ventos fortes."
Quais são as diretrizes para o posicionamento segu...,1.42,1.71,0.098,0.044,0.077,0.333,0.18,0.5,"• Mantenha a área livre livre de pessoas e obstruções.
• Evite contato com superfícies escorregadias. A lama pode causar deslizamento ou queda. • Não use para solo firme, pois pode cair em caso de ventos fortes. • Use calços ou amarras quando não estiver em uso. Mova lentamente a máquina se o solo estiver instável. • Não opere a máquina com rajadas de vento, neve ou gelo. A queda de detritos pode causar acidentes. • Gire a lança se desgarrada. Desligue a máquina se a lança ficar presa.
Output: Configure um alarme sonoro e mude para outra plataforma caso ocorra movimento. Identifique e repare danos na lança, caso ocorra. Coloque a chave seletora de partida em ordem de trabalho. Mova a alavanca de controle para a posição de operação. Mova lentamente a lança até que esteja firmemente no lugar. Gire a lança para a posição inicial. Mova lentamente para superfície firme, deixando espaço suficiente","Mova para superfície firme, leveza, retraia se o alarme do inclinação soa."
Quais são as instruções de segurança para operar a...,1.38,6.62,0.254,0.133,0.178,0.333,0.179,0.5,"Nutrijet 30J: Assegure-se de que a lança esteja firme e travada; não movimente enquanto estiver em trilho de proteção. Inspecione o local de trabalho. Mova a máquina somente para o trabalho e com supervisão adequada. Mova a máquina conforme especificações do manual de responsabilidades. Mantenha distância segura de outras máquinas na área. Movimente sempre com calços ou plataforma adjacente. Coloque e segure os trilhos de entrada/saída firmemente, de forma a evitar tombamento. Não opere sem calços. Mova a máquina apenas para testes. Mova lentamente para uma superfície firme e nivelada, longe de árvores e estruturas instáveis. Aplique óleo se necessário. Leve a máquina para um técnico qualificado. Gire o botão vermelho de parada de emergência quando em solo. Mova a alavanca de controle para liberar quando em solo livre. Retrocedenda quando em solo livre, quando a plataforma estiver descendo. Marque o piso com tinta vermelha. Chave seletora de nível","Evite operar a máquina com raios, em tempestades, ou enquanto a plataforma está em movimento. Gire as linhas energizadas se descendo. Mova a máquina para uma superfície firme e nivelada, não use para solda ou aterramento."
Quais são as diretrizes de segurança para o contro...,2.89,4.95,0.168,0.124,0.112,0.25,0.139,0.5,"Desligue a máquina. Mova para superfície firme e nivelada. Identifique e elimine obstáculos com corda. Mova a máquina para uma área adequada. Descasque a lança se necessário. Não movimente em declive superior ou plataforma presa. Assegure-se de que a lança esteja presa à base. Contraia os controles da plataforma e do movimento. Movimente a máquina somente para inspeção pré-operacional. Mova para local seguro quando estiver em uso.
Output: Mantenha a área livre de detritos e evite árvores e barreiras. Evite ventos fortes. Verifique condições meteorológicas. Selecione uma plataforma que não desça escorregadias. Mude para outra plataforma se ficar escorregadia durante testes de movimento. Contraia os controles da plataforma e do movimento. Mova para terreno firme, se possível. Descasque a lança se necessário. Alinhe a plataforma, se ainda estiver em solo firme. Aplique calços ou pedras pequenas para segurar a plataforma. Gire a lança",Não libere com controles da plataforma; não movimente em declive superior ou plataforma presa.
Qual é a máxima capacidade de inclinação da máquin...,2.35,0.47,0.061,0.049,0.061,0.4,0.215,0.5,"75°/25°
Output: Inclinação máxima permitida. A direção de inclinação não deve escorregar. **Altura Máxima de Descida** 75 cm ou maior se descendo com calçado firme. **Movimento Vertical e Lado Errado** Se a lança está em movimento inclinada, mova-a para o lado esquerdo. Mova lentamente quando a plataforma estiver no chão. Mantenha sempre distância entre a plataforma e a superfície. **Curva de Admissão e Saída** Siga normas de segurança. O piso está inclinado. Gire as linhas de entrada/saída de acordo com as normas. Puxe os controles até o ângulo desejado, depois gire-os na direção indicada. A curva de admissão e saída devem ser travadas quando estável. Empurre para dentro com ambas as rodas direcionais. Gire a chave seletora de habilitação. A velocidade máxima, em pés por segundo, é 30/240. O movimento para trás",Inclinação máxima de 2WD
Que deve fazer a operação da máquina de lança de c...,2.0,0.58,0.089,0.01,0.069,0.5,0.277,0.5,"Que faça uma inspeção pré-operacional. Que verifique se os controles estão em ordem. Que evite contato com ventos fortes. Que não seja operada por pessoas não habilitadas. Que não esteja danificada. Que não haja pessoas sob influência de álcool ou drogas. Que não esteja em mau estado de conservação. Que não apresente defeitos visíveis.
Output: Que suspenda caso venha vento forte. Que verifique o nível do contrapeso. Que desça caso venha vento forte. Que sinalize para a equipe de operações quando o contrapeso estiver em queda livre. Que use óculos de proteção contra ventos fortes, e que tenha certeza de que a área está livre de obstáculos. Que não opere sem controle de direção. Que não coloque pessoas fora da área. Que não aponte para áreas inundáveis. Que utilize pneus calibrados. Que preste atenção à inclinação e ao nível da água. Que evite terrenos escorregadios. Que não suba em postes nem amarre correntes se houver risco de desmoron","Desligue a máquina se ventos superarem 12,5 m/s ou 17° de inclinação lateral com contrapeso."
