Instrução,PPL,BLEU,ROUGE-1 F1,ROUGE-2 F1,ROUGE-L F1,Faithfulness,Answer Relevance,Plan Adherence,Gerado,Referência
Quais são as primeiras etapas necessárias antes de...,894.64,0.42,0.093,0.0,0.074,0.0,0.0,0.5,"a,, de de.,a de de de de de,a de, de. de de, de, dee de,a de de,e de dea de de. de dee de de de. de de,, de de, de dea,ee, de dee de,eee dee, de,e de. de de de.e de de dea.,e de, deee deee de de de. dee de de, de de de, dee de de dee de deeee dee de de.e,e de,a, deaaa de de dee de de. de. de de dee dee, de,,, de de de de","Leia, compreenda e segua normas de segurança e instruções de operação."
Quais são os primeiros dois tópicos do manual da m...,3252.39,0.22,0.044,0.0,0.044,0.0,0.0,0.5,". de de ,,. <extra_id_32>. <extra_id_32> . <extra_id_14> de.o,,,,s,o dee de, de,, a,,,  de <extra_id_14>,,, de de de  de,a. de.,,, de dea,a deea, de,o de de de de. de,,,,.,,,a,a, de.,, de de de <extra_id_14>,,, de de,. de,e dea,,ae,,,o. de, de., ,e de de de, de,, de, de de de de <extra_id_14> de de, dea  de,.a., deee .,,. <extra_id_14>, de,o  de.,  de,.,. de","Normas de segurança, Legenda"
Quais são os elementos listados no conteúdo para u...,21988.29,0.27,0.025,0.0,0.025,0.0,0.0,0.5,",a,, de de, dee, de,, deo dee,  de,e de ,, de, ,o,,,,, de, de de ,e, de. dea de de dea. de, de,  de de,  dee de, deaa de,, dea de, dee de de,e.,e,, dea, de de , , dee, de,. de de de,a, de dea,a de de de de,, deeee de de de de, de de de de,, de  de  ,ee, de, de, de,,eee de.,,e, de dee dee dee de","Controles, Inspeção pré-operação"
Quais são as páginas mais importantes do conteúdo ...,7356.29,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,"Instruções de operação, Transporte e Elevação, Adesivos, Especificações"
Quais edições do livro Genie Lift Manual estão lis...,18064.42,0.35,0.122,0.0,0.098,0.0,0.0,0.5,".as de de de.. de de,, ,. deeee, de de deo,o, de,, dee de de ,  de., eao,o deaea de,o de, de, de, de,o dea,,.. deo de, de,ea,eaeeea. de de,a de,, de de dee de <extra_id_32>,, deao., de. de de dee deeeaao de  de, dee,. de, de, deee de, de, de de, dea ,,, de,. ,,o deaa,e,, de. de de, de.,.aoe",Segunda edição (agosto de 2004) e Terceira edição (outubro de 2005)
Quais são as consequências da não observância das ...,19486.27,0.23,0.0,0.0,0.0,0.0,0.0,0.5,"para de deaeo de, de de de de,ae a <extra_id_0>. de,,  de,a,o de.a  de <extra_id_14> . <extra_id_14>,   de, dee de dee . deo  de a de de de, <extra_id_14>. , ,, de ,,, de,,. de de. ., ,e, de o.a,, de de.., deao a de de, de.,,., de de de deeo,,, ,,ae.a.a,,,, de deo de.aa de deeo,o  de de de , dee, de,.,.,,, dea,,",Pode provocar morte ou acidentes pessoais Graves.
Quais normas devem os operadores seguir ao trabalh...,6365.55,0.38,0.04,0.0,0.04,0.0,0.0,0.5,"dee dee,e e, de de,, de de deee dea de de dea de dee,,ae de de,e dee.a, deo,,, de dea,ee, de,e. de de de,e,.e dee de dee dea dea,a de dee, de de, de,, de de, deee de de de,e.,ee de de, de, dee de dee de de de de, de de de,e dee de dee de dee de de dee de de, de de,oe dea,e de.e de, de de,a dea,, de.e dea de","Normas de segurança, normas governamentais, treinamento adequado."
Quais riscos de segurança devem ser evitados ao op...,4221.89,0.34,0.0,0.0,0.0,0.0,0.0,0.5,",,, de.,,,,,, de de a, o de de de,o deo de,e,, dea dea de, dea. de. deaa dee de, de de. , de,,e de , de de dee, e,a de. de dee de de de,,, de,,,,,,,o..ee, de,o..,,e,o de,,.,ao de, de,e deaa de, de,,e de,, ea, dee,, de.ae. deao. de, de, o, , de deao de de de, dee de,.,","Choques elétricos, tombamento, contato com corrente elétrica."
Qual é a distância mínima entre a máquina e a supe...,4944.27,0.32,0.024,0.0,0.024,0.0,0.0,0.5,"ea de dea, de,a dea de de dea , dea.  deoee, deo de de,e de,,,,,a de, ,e de,a de, de de de de de, de, de,   de de,, ,, de de de de, , dee de de de de ,, de, de, de, de , de,, de de,,, de.,  de de de de a  de, de de de, ,  de.,,e dee de de de,e,, de de de e de,e, dee de de ,,, de,, de de de,,.,","3,1 metros na fase de aproximação."
Quais ações devem ser tomadas quando o alarme de i...,7477.44,0.46,0.02,0.0,0.02,0.0,0.0,0.5,"ao,,,a, <extra_id_32>,,,oea, de, de, de,. de..a,, <extra_id_32> de <extra_id_32>,a deae.e de,ao de,a de de de dee, de de, <extra_id_32>oa a de de, <extra_id_32> dea deeea de, de ,o de  dea de dee.,e,e,aoe de dea de,,a de, aeea deo de de,,.,o dea e, <extra_id_32>oe, dea., de,a,e de. de <extra_id_32>, de, de, de,. deaoe,, deo deo,o de, <extra_id_32>. de,,,a,, de de","Mantenha distância, verifique estabilidade, e evite ventos fortes."
