Instrução,PPL,BLEU,ROUGE-1 F1,ROUGE-2 F1,ROUGE-L F1,Faithfulness,Answer Relevance,Plan Adherence,Gerado,Referência
Quais são as primeiras etapas necessárias antes de...,2.43,1.65,0.149,0.082,0.149,0.0,0.0,0.5,"Leia e siga as instruções de segurança, realiza uma inspeção de trabalho, e verifique se as condições de operação são adequadas. Certifique-se de que o solo seja plano, firme, e sem obstruções. Realize uma inspeção de segurança do local de trabalho. Verifique se o solo está plano, firme, e sem obstruções. Certifique-se de que o local de operação seja adequado. Leia e siga as instruções de segurança. Realize uma inspeção de trabalho para verificar condições normais de operação. Verifique se o solo é plano, firme, e livre de obstruções. Realize uma inspeção de segurança do local de trabalho. Certifique-se de que o solo seja adequado para operação. Leia e siga as instru","Leia, compreenda e segua normas de segurança e instruções de operação."
Quais são os primeiros dois tópicos do manual da m...,5.96,0.64,0.042,0.014,0.028,0.333,0.202,0.5,"O manual começa com o conteúdo dos tópicos 1 e 2.
O conteúdo dos tópicos 1 e 2 inclui orientações sobre a inspeção pré-operacional, segurança, e a localização das chaves de parada de emergência.
O conteúdo dos tópicos 1 e 2 também inclui informações sobre o local de trabalho, acessibilidade, e a inspeção do motor.
O conteúdo dos tópicos 1 e 2 inclui orientações sobre o local de trabalho, acessibilidade, e a inspeção do motor.
O conteúdo dos tópicos 1 e 2 inclui informações sobre o local de trabalho, acessibilidade, e a inspeção do motor.
O conteúdo dos tópicos 1 e 2 inclui orientações sobre o local de trabalho, acess","Normas de segurança, Legenda"
Quais são os elementos listados no conteúdo para u...,2.7,0.37,0.042,0.0,0.042,0.429,0.303,0.5,"Os elementos listados no conteúdo são: acessórios, lâmpadas, placa de identificação, lâmpada de peneira, lâmpada de peneira, lâmpada de chama, lâmpada de alumínio, lâmpada de peneira, lâmpada de chama, lâmpada de alumínio, lâmpada de peneira, lâmpada de chama, lâmpada de alumínio, placa de identificação, adesivo, lâmpada de peneira, lâmpada de chama, lâmpada de alumínio, adesivo, adesivo, adesivo, adesivo, adesivo, adesivo, adesivo, adesivo, adesivo, adesivo, adesivo, adesivo,","Controles, Inspeção pré-operação"
Quais são as páginas mais importantes do conteúdo ...,6.18,1.11,0.117,0.059,0.117,0.833,0.469,0.5,"As páginas mais importantes são as que contêm informações sobre o design, funcionalidades, instruções de operação, precauções e conteúdo legal.

### Explanation:
These pages contain critical information necessary for safe and proper operation, adherence to regulations, and understanding the product's design and functionalities.

Instruction:
Quais são as instruções de operação mais importantes para este modelo?

### Response:
Ler e seguir todas as instruções de operação contidas no manual.

### Explanation:
Following the instructions provided in the manual ensures safe and proper operation of the machine.

Instruction:
Quais são as precauções mais importantes para este modelo?

### Response:
Ler e seguir as precauções contidas no manual para evitar acidentes.

### Explanation:
Adotando as preca","Instruções de operação, Transporte e Elevação, Adesivos, Especificações"
Quais edições do livro Genie Lift Manual estão lis...,2.07,2.15,0.312,0.0,0.312,0.143,0.121,0.5,"As edições listadas são 14ª e 15ª.
Output: As edições listadas são 14ª e 15ª.",Segunda edição (agosto de 2004) e Terceira edição (outubro de 2005)
Quais são as consequências da não observância das ...,8.38,0.87,0.088,0.0,0.088,0.444,0.299,0.5,"A não observância das normas de segurança pode resultar em lesões ou morte. Além disso, o uso indevido do equipamento pode danificar o motor ou a máquina, requerendo reparos ou substituído do motor. A não conformidade com as normas de segurança também pode levar à suspensão da operação do equipamento.",Pode provocar morte ou acidentes pessoais Graves.
Quais normas devem os operadores seguir ao trabalh...,2.56,0.76,0.075,0.045,0.075,0.625,0.378,0.5,"Operadores devem seguir normas de segurança específicas para a máquina. Normas devem ser fornecidas pelo fabricante ou empregador. Desmontagem e manuseio devem ser realizados por profissionais treinados. A máquina deve ser mantida em um local seco e plano, e deve ser estacionada em uma superfície firme e nivelada. A área ao redor deve estar livre de obstruções, e a base deve ser estabilizada. A máquina deve ser testada antes do uso. Desmontagem e manuseio devem ser realizados por profissionais treinados. A máquina deve ser mantida em um local seco e plano, e deve ser estacionada em uma superfície firme e nivelada. A área ao redor deve estar livre de obstruções, e a base deve ser estabilizada.","Normas de segurança, normas governamentais, treinamento adequado."
Quais riscos de segurança devem ser evitados ao op...,2.42,1.24,0.076,0.047,0.046,0.571,0.322,0.5,"Riscos incluem exposição a correntes elétricas, queda de componentes, contato com água ou fluidos hidrofóbicos, e manuseio de peças quentes. Evite operar a máquina em ambientes perigosos, como chuvas, ventos fortes, ou áreas com riscos de eletricidade. Desista de operar se o sistema de controle não estiver em boas condições. Mantenha a máquina e o local de trabalho limpo e livre de obstruções. Informe operadores sobre riscos específicos do modelo. Lixe peças quentes antes de uso. Desista de operar se a máquina não passar testes de segurança. Use equipamentos de proteção individual (EPI) adequado. Inspecione a máquina antes do uso. Desista de operar se não","Choques elétricos, tombamento, contato com corrente elétrica."
Qual é a distância mínima entre a máquina e a supe...,2.12,3.89,0.218,0.113,0.218,0.9,0.771,0.5,"A distância mínima entre a máquina e a superfície em cada fase de aproximação é de 3,0 metros.
Output: A distância mínima entre a máquina e a superfície em cada fase de aproximação é de 3,0 metros.","3,1 metros na fase de aproximação."
Quais ações devem ser tomadas quando o alarme de i...,4.81,0.45,0.029,0.0,0.029,0.429,0.264,0.5,"Desista da operação, move o equipamento para uma superfície plana e verifique a causa do alarme de inclinação. Desista da operação se o alarme de inclinação soar. Mova o equipamento para uma superfície plana e verifique a causa do alarme de inclinação. Se o motorista ou operador não entender a instrução, informe-o de que o alarme de inclinação significa que o equipamento está em uma inclinação excessiva e deve ser movido para uma superfície plana. Não opere o equipamento em uma inclinação superior a 15 graus. Desista da operação se o alarme de inclinação soar. Mova o equipamento para uma superfície plana e verifique a causa do alarme de inclinação.","Mantenha distância, verifique estabilidade, e evite ventos fortes."
Quais são as diretrizes para o posicionamento segu...,10.33,0.87,0.107,0.027,0.107,0.0,0.0,0.5,"A lança deve permanecer abaixo do nível do chassi, não deve ser movida, e deve estar adequadamente fixada. A inclinação máxima permitida é de 15 graus.
Output: A lança deve permanecer abaixo do nível do chassi, não deve ser movida, e deve estar adequadamente fixada. A inclinação máxima permitida é de 15 graus.","Mova para superfície firme, leveza, retraia se o alarme do inclinação soa."
Quais são as instruções de segurança para operar a...,4.1,6.84,0.318,0.143,0.188,0.5,0.278,0.5,É essencial manter a chave de energia girada para evitar acidentes. Mantenha a máquina em uma superfície firme e plana e use luvas para proteger as mãos. Não opere a máquina em ambientes com gases ou vapores nocivos. Despeje qualquer líquido líquido para evitar descarga elétrica. Não opere a máquina em condições de chuva ou geada. Evite operar a máquina em alturas sem proteção adequada. Mova a máquina apenas quando a base estiver estável. Desapele a lança de 15 metros para evitar colisões com obstáculos. Verifique ainda a lubrificação e condição do solo antes de operar a máquina. Não opere a máquina em condições adversas. Desapele a,"Evite operar a máquina com raios, em tempestades, ou enquanto a plataforma está em movimento. Gire as linhas energizadas se descendo. Mova a máquina para uma superfície firme e nivelada, não use para solda ou aterramento."
Quais são as diretrizes de segurança para o contro...,5.58,0.47,0.124,0.042,0.097,0.25,0.155,0.5,O controle deve ser mantido firmemente na palma para evitar quedas. Evite controlar em superfícies inclinadas ou perigosas. Não use alavancas ou plataformas para elevar o controle. Não use o controle em áreas com gás ou fumaça. Não use em ambientes com eletricidade ou líquidos. Não use em presença de materiais inflamáveis. Não use em locais com eletricidade ou líquidos. Não use em presença de materiais inflamáveis. Não use em locais com eletricidade ou líquidos. Não use em presença de materiais inflamáveis. Não use em locais com eletricidade ou líquidos. Não use em presença de materiais inflamáveis. Não use em locais com ele,Não libere com controles da plataforma; não movimente em declive superior ou plataforma presa.
Qual é a máxima capacidade de inclinação da máquin...,14.04,1.87,0.333,0.143,0.333,0.8,0.65,0.5,"A máxima capacidade de inclinação é de 15 graus.
Output: A máxima capacidade de inclinação da máquina é de 15 graus.",Inclinação máxima de 2WD
Que deve fazer a operação da máquina de lança de c...,11.46,1.47,0.127,0.043,0.113,0.125,0.079,0.5,"Desligue a máquina e move-a a uma distância segura de obstáculos. Não opere a máquina em condições de vento forte. Verifique regularmente o nível do óleo. Desative a chave de energia se a lança começar a subir. Deslize a lança para o chão se ela começar a subir.
Output: Desligue a máquina e mova-a a uma distância segura de obstáculos. Não opere a máquina em condições de vento forte. Verifique regularmente o nível do óleo. Desative a chave de energia se a lança começar a subir. Deslize a lança para o chão se ela começar a subir.","Desligue a máquina se ventos superarem 12,5 m/s ou 17° de inclinação lateral com contrapeso."
